LGA_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA13340,287,539,22,26,51,282,330,610,8,3,8,287,292,583,33,30,56,323,328,654,4,13,15,300,342,645,30,32,58,342,385,724,8,7,13,359,361,717,43,32,80,408,400,813,12,7,19,391,371,763,36,36,71,442,417,853,18,13,32,1166,1057,2227,97,99,195,1280,1175,2457,194,183,376,5012,4879,9888,451,435,885,5657,5492,11157
LGA13450,716,1453,67,55,121,829,808,1636,27,37,67,743,736,1481,71,63,135,841,835,1679,28,42,67,763,809,1566,73,46,115,862,895,1749,27,39,68,742,759,1494,54,43,90,818,834,1654,26,31,53,738,666,1403,57,48,105,821,742,1561,35,43,80,1850,2166,4010,200,201,398,2081,2408,4494,700,736,1434,11877,11828,23708,1015,928,1943,13591,13494,27086
LGA13550,299,584,32,23,59,355,367,720,29,37,68,286,260,552,34,27,64,346,332,684,34,51,89,275,308,579,16,25,47,330,387,711,35,41,78,323,305,627,33,25,57,388,370,760,37,39,83,351,341,691,23,23,43,411,398,813,53,79,123,1007,1098,2103,112,113,219,1168,1283,2452,1013,1008,2021,4860,4954,9812,568,534,1096,6438,6495,12929
LGA13660,101,198,12,12,24,124,118,236,3,9,13,108,130,239,8,15,27,120,157,277,6,10,22,141,142,282,19,11,35,172,166,338,10,7,16,149,161,312,17,15,32,176,185,363,8,10,19,182,165,347,17,16,31,205,188,396,17,13,31,605,653,1259,58,41,99,683,711,1391,160,177,343,2066,2084,4149,220,200,424,2447,2465,4910
LGA13800,1822,3630,79,82,158,1936,1972,3906,58,75,132,2010,2144,4160,95,73,170,2166,2295,4459,59,89,150,2106,2290,4394,101,73,179,2266,2454,4720,56,83,138,2100,2097,4198,95,91,186,2249,2267,4515,62,49,105,1932,1952,3884,71,73,140,2066,2066,4134,100,96,199,4881,5534,10416,236,290,526,5223,5920,11137,1653,1608,3252,30360,30821,61186,1447,1324,2766,33461,33755,67207
LGA13850,60,99,9,14,23,57,75,132,4,4,8,53,58,119,7,6,17,64,76,138,11,5,13,85,79,158,13,11,21,103,88,195,15,10,22,106,108,215,13,13,23,135,136,267,9,4,11,113,111,226,18,9,19,136,126,254,11,8,19,269,313,586,44,27,73,327,348,674,140,101,238,1130,1185,2321,178,153,324,1448,1436,2882
LGA13910,463,874,44,46,93,477,527,1006,13,20,39,498,468,961,46,27,73,560,516,1076,27,31,50,490,584,1070,41,49,95,552,657,1214,24,34,53,606,613,1218,60,47,105,680,690,1371,20,20,40,607,613,1225,58,52,112,690,686,1373,40,51,88,2059,2186,4241,141,156,304,2238,2392,4628,482,496,974,8287,8633,16918,699,659,1355,9469,9787,19254
LGA14000,5925,11356,124,115,243,5579,6055,11630,39,36,76,5464,5645,11113,103,99,196,5612,5780,11385,22,25,49,4934,5459,10395,101,75,177,5056,5562,10620,27,22,45,4674,4911,9588,93,89,181,4792,5022,9818,24,12,38,4187,4546,8729,80,64,145,4292,4622,8912,34,33,67,12135,14505,26632,329,431,761,12499,14964,27463,459,401,859,72292,75444,147741,1605,1607,3213,74360,77455,151811
LGA14100,428,781,15,20,35,372,450,821,0,5,5,464,484,949,14,15,32,479,508,988,0,0,0,474,519,993,20,14,35,497,536,1034,0,5,3,434,466,895,9,14,23,441,478,920,0,0,3,371,393,769,12,8,22,382,410,796,3,5,4,1349,1747,3101,45,89,138,1402,1839,3243,38,30,71,6317,6692,13011,234,247,482,6597,6962,13559
LGA14170,6892,13523,289,245,528,6982,7187,14167,67,71,134,6384,6732,13114,255,223,485,6706,7031,13736,58,78,138,5746,6041,11781,242,202,446,6045,6321,12368,49,73,115,5111,5216,10329,242,165,412,5401,5456,10858,37,54,91,4109,4425,8535,223,131,355,4375,4611,8990,76,100,173,10935,13430,24363,600,558,1157,11613,14085,25696,1021,1141,2162,84432,89158,173585,3715,3346,7066,89169,93648,182818
