LGA_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA15990,9179,17813,280,249,524,8954,9462,18426,61,63,116,9648,10229,19870,263,264,527,9969,10551,20517,59,46,106,9087,9787,18876,259,246,507,9403,10080,19492,53,41,87,8396,8600,16989,234,198,428,8672,8835,17513,43,34,71,7119,7355,14475,207,212,420,7372,7603,14968,78,59,136,20960,25122,46084,773,964,1738,21816,26144,47957,917,791,1706,124238,129964,254201,3774,3874,7647,128929,134623,263554
LGA16100,115,248,22,25,49,163,145,305,9,15,23,147,139,289,16,15,25,169,168,337,10,10,18,181,171,348,16,15,35,205,197,403,8,6,14,203,168,371,18,6,29,233,179,416,3,0,8,186,181,370,22,19,40,215,197,413,14,12,24,601,598,1200,88,75,165,702,689,1390,143,115,260,2443,2265,4704,331,282,614,2915,2662,5580
LGA16150,1185,2239,69,60,123,1186,1310,2499,78,70,154,1160,1193,2352,78,56,134,1319,1323,2643,73,91,161,1052,1142,2193,52,56,111,1176,1289,2466,59,61,118,1028,1137,2163,66,59,126,1152,1263,2408,39,39,82,1027,1158,2188,52,49,102,1122,1243,2367,60,88,148,3259,3948,7206,209,253,467,3528,4285,7817,1642,1683,3330,18423,19502,37920,1120,1150,2264,21178,22333,43512
LGA16200,308,629,37,23,67,400,375,771,38,52,91,313,344,654,27,31,61,378,424,807,40,37,77,371,362,733,31,24,56,441,422,868,40,40,83,404,391,796,41,33,78,481,465,949,44,47,93,413,393,810,31,30,58,494,470,968,60,67,130,1256,1430,2692,75,83,162,1396,1587,2982,937,947,1887,5699,5782,11483,519,473,991,7154,7208,14361
LGA16260,8795,18417,422,383,806,10117,9227,19343,91,65,152,7350,7525,14881,293,268,560,7735,7855,15589,65,40,108,6284,6672,12956,245,200,447,6595,6915,13506,40,38,73,5997,6468,12470,240,172,408,6278,6676,12955,29,35,61,5467,5920,11383,204,190,396,5696,6139,11834,55,49,104,14289,16510,30801,547,744,1294,14891,17304,32198,1153,927,2079,122367,122102,244469,5216,4966,10181,128734,127995,256729
LGA16350,6790,13611,399,350,754,7457,7411,14869,255,303,560,6391,6402,12792,323,314,638,6975,7015,13990,208,243,446,5815,6016,11831,311,277,583,6331,6534,12864,163,189,348,5448,5623,11072,276,226,503,5889,6042,11928,148,132,277,5058,5668,10721,207,194,407,5411,5989,11407,209,274,479,12230,13847,26073,706,1041,1749,13140,15156,28296,5431,5495,10925,96728,98909,195638,5422,5677,11099,107583,110085,217664
LGA16380,2109,4021,96,90,190,2104,2293,4397,96,123,217,2210,2452,4662,85,99,188,2393,2678,5070,82,124,211,2326,2643,4959,114,96,206,2520,2862,5382,89,127,212,2468,2804,5270,129,101,227,2681,3035,5715,92,99,195,2673,3257,5933,104,132,236,2870,3491,6356,172,196,364,11201,12665,23862,484,570,1057,11854,13429,25284,2312,2414,4730,37415,40921,78341,1847,1848,3699,41576,45188,86762
LGA16400,1865,3550,96,88,188,1875,2062,3941,108,152,261,2009,2140,4151,112,92,202,2224,2389,4616,107,109,213,2049,2204,4250,105,94,197,2261,2400,4655,87,128,214,2320,2426,4746,125,101,229,2533,2652,5190,78,87,164,2492,2691,5181,124,98,229,2696,2883,5574,170,175,348,8681,9472,18158,469,519,990,9319,10170,19493,2436,2453,4885,32870,34131,67001,1757,1630,3387,37059,38218,75276
LGA16490,2009,3909,91,97,190,2039,2164,4206,67,56,120,2099,2069,4167,93,78,177,2255,2203,4458,56,67,126,2143,2293,4435,92,87,175,2294,2443,4742,52,49,94,2053,1955,4003,124,98,224,2226,2099,4327,33,45,75,1761,1687,3448,97,78,176,1891,1807,3699,40,55,91,3909,4068,7977,228,237,467,4179,4355,8534,1079,1110,2190,29281,28915,58193,1505,1414,2917,31861,31441,63304
LGA16550,4653,9067,199,213,413,4688,4925,9613,78,70,148,4199,4343,8543,180,173,358,4464,4586,9051,59,69,129,3794,4158,7952,185,151,337,4036,4374,8412,64,50,110,3521,3628,7157,159,139,300,3747,3820,7566,44,49,87,2983,3235,6221,114,94,205,3143,3383,6521,83,117,201,8896,10680,19580,471,699,1168,9451,11496,20943,1197,1158,2354,61140,64635,125776,3041,3075,6120,65376,68869,134252
LGA16610,521,985,65,67,134,573,639,1211,40,53,90,570,589,1160,90,60,156,699,701,1404,39,42,85,615,611,1226,44,49,98,702,705,1406,37,39,79,675,735,1417,73,55,128,790,832,1622,43,39,84,741,763,1507,72,45,117,858,855,1709,68,67,131,2615,2782,5397,186,191,378,2867,3043,5909,905,950,1858,9608,9978,19593,1117,1007,2119,11631,11941,23565
LGA16700,4550,9034,151,130,281,4653,4704,9359,13,12,30,3744,3938,7679,102,99,196,3857,4048,7907,14,14,28,3366,3725,7091,105,105,209,3480,3845,7329,14,11,21,3410,3674,7080,112,92,206,3535,3778,7308,6,12,21,2979,3487,6468,90,102,190,3073,3605,6680,20,17,42,8402,10374,18778,265,366,628,8684,10761,19447,292,317,612,60724,63702,124424,2021,2066,4087,63042,66080,129123
LGA16900,2147,4210,95,92,188,2226,2329,4554,95,102,195,2187,2393,4581,85,92,180,2367,2587,4958,66,77,147,2126,2319,4442,66,58,124,2262,2454,4718,51,67,122,2208,2398,4605,71,82,159,2335,2555,4888,56,70,128,2120,2390,4511,77,69,145,2257,2527,4781,95,96,188,6126,6890,13015,322,451,772,6542,7438,13976,1897,1914,3809,33858,35505,69362,1509,1588,3096,37265,39006,76271
LGA16950,2440,4833,168,152,319,2715,2750,5465,161,163,319,2577,2631,5208,208,168,379,2939,2960,5900,155,173,326,2717,2994,5714,182,172,354,3053,3341,6397,146,159,299,3235,3469,6704,176,178,359,3561,3804,7366,142,152,299,3792,4206,8000,228,198,426,4166,4568,8726,290,290,578,13672,14726,28403,686,754,1441,14652,15770,30420,3612,3457,7067,46957,48333,95299,3151,3015,6164,53719,54813,108531
LGA17000,632,1280,49,28,77,748,719,1462,45,59,106,701,740,1439,41,44,90,787,844,1635,44,45,83,755,778,1532,46,37,87,852,855,1704,40,31,69,739,713,1451,57,43,97,835,781,1619,33,43,75,685,619,1306,50,32,83,770,692,1462,41,57,94,1607,1643,3258,100,92,189,1746,1795,3541,1018,1019,2033,10786,10303,21093,858,596,1448,12659,11918,24577
LGA17040,534,1059,36,39,79,583,599,1181,24,19,40,666,645,1311,40,50,93,736,714,1448,18,13,27,721,708,1424,63,47,117,792,769,1564,18,9,28,724,703,1430,53,54,113,798,774,1570,20,13,29,765,709,1469,64,48,114,844,767,1614,28,19,50,2003,1938,3942,154,132,290,2189,2090,4282,408,263,665,9971,9520,19490,789,717,1508,11169,10500,21666
LGA17080,342,720,36,28,67,436,396,835,32,26,58,401,385,791,36,30,67,465,444,911,24,29,49,403,410,807,36,29,62,459,465,925,12,24,40,533,413,949,39,26,61,584,470,1050,18,14,34,513,534,1052,36,35,74,568,590,1159,35,36,69,1570,1590,3163,105,125,231,1716,1745,3459,456,491,944,6514,6375,12892,532,528,1067,7504,7391,14891
LGA17100,1256,2550,57,58,116,1356,1317,2673,7,3,12,1066,1168,2238,48,47,92,1120,1223,2342,5,3,9,984,1116,2095,35,48,84,1022,1167,2195,0,4,10,1058,1168,2227,40,38,83,1104,1215,2319,3,0,0,985,1021,2003,35,32,61,1021,1048,2074,7,0,9,2444,2863,5312,87,108,196,2538,2977,5513,100,102,199,22145,21174,43324,1116,953,2067,23365,22229,45593
LGA17150,7636,14771,212,189,399,7421,7925,15347,99,91,193,7683,8205,15883,204,204,414,7989,8499,16490,102,80,182,7141,7699,14841,217,171,385,7460,7954,15413,70,67,140,6866,7270,14139,194,143,334,7134,7482,14614,60,54,109,6544,7006,13553,147,144,294,6754,7201,13958,115,112,224,19027,22540,41573,600,839,1442,19746,23495,43237,1679,1590,3273,107741,112986,220723,3135,3076,6211,112561,117649,230211
LGA17200,6425,14640,595,407,1001,8913,6932,15841,108,74,183,6179,4897,11071,482,302,786,6770,5269,12046,95,109,208,5618,4256,9878,438,272,717,6156,4643,10800,68,83,148,4925,3902,8825,393,227,624,5388,4210,9599,74,50,121,4047,3629,7679,324,226,548,4435,3907,8347,90,115,210,9407,9357,18768,741,673,1416,10244,10148,20392,1571,1437,3009,101604,93513,195112,7448,6066,13509,110615,101018,211632
LGA17310,1550,2914,110,129,240,1638,1876,3519,179,210,391,1508,1546,3058,130,116,246,1818,1873,3694,139,176,320,1574,1646,3215,123,100,228,1836,1923,3764,147,168,314,1554,1725,3279,107,102,215,1808,1999,3809,117,154,266,1561,1791,3355,111,98,207,1792,2042,3832,248,238,485,5226,6067,11292,347,401,749,5811,6708,12527,4016,4015,8032,24867,26104,50970,2028,2042,4070,30906,32166,63070
LGA17350,138,261,5,12,20,130,159,286,3,5,9,148,180,329,7,9,15,159,194,357,9,4,14,163,164,324,7,12,17,176,175,352,6,0,12,167,223,394,15,16,25,188,235,422,5,5,7,208,201,411,10,10,21,221,220,440,11,9,23,725,811,1540,35,44,84,773,870,1641,97,110,207,2713,2815,5519,143,166,307,2948,3085,6034
LGA17400,140,259,17,18,39,146,175,316,13,15,23,158,180,334,14,28,40,183,220,399,6,25,29,175,162,346,27,21,51,213,212,423,9,14,24,224,202,422,24,23,41,253,237,493,15,18,28,273,332,606,37,28,62,321,376,701,19,15,36,1027,1003,2030,90,79,169,1136,1100,2234,232,278,514,2794,2888,5678,307,315,626,3334,3482,6810
LGA17420,7784,15236,157,150,309,7649,7966,15616,37,39,81,6947,7123,14068,130,139,271,7116,7302,14419,24,36,54,5980,6437,12418,118,115,232,6118,6587,12706,26,24,54,5355,5477,10835,101,115,220,5485,5619,11105,17,8,24,4680,5050,9727,72,80,150,4770,5138,9903,40,36,79,13154,14638,27790,255,294,547,13446,14969,28419,611,593,1207,92141,94691,186829,1902,1935,3840,94657,97221,191876
LGA17550,2662,4962,194,180,375,2586,2954,5541,117,135,248,2640,2835,5478,204,224,420,2960,3186,6146,114,121,240,2534,2820,5355,210,163,374,2857,3109,5966,82,129,203,2752,3206,5962,201,216,418,3035,3554,6584,79,114,195,3201,3666,6870,194,180,370,3477,3955,7432,163,198,365,11230,12921,24150,639,774,1415,12030,13898,25931,2113,2216,4329,41714,45333,87053,2979,3035,6008,46804,50586,97392
LGA17620,346,730,18,28,44,419,410,834,24,35,54,419,418,837,35,26,58,475,479,951,21,30,52,370,365,733,26,20,49,416,418,834,21,19,37,407,425,829,25,36,64,453,484,935,21,15,36,457,449,910,35,24,57,517,486,998,38,37,77,1355,1407,2769,83,73,157,1475,1529,3002,473,513,990,6218,6215,12432,421,391,810,7112,7119,14229
LGA17640,192,366,12,9,26,191,208,405,6,14,24,238,219,461,22,18,42,269,259,519,18,3,23,260,278,538,22,20,39,305,301,602,5,6,8,361,331,697,43,27,68,406,367,773,3,3,8,348,329,669,29,23,56,381,357,734,3,14,21,988,943,1928,100,84,180,1085,1043,2133,130,138,268,3833,3745,7577,353,316,667,4314,4198,8514
LGA17650,137,267,5,9,18,147,166,310,11,8,20,160,179,342,14,13,23,188,200,386,13,17,25,171,197,372,13,21,34,204,228,439,10,22,32,177,219,401,16,12,32,208,256,458,13,11,29,222,208,433,14,20,39,251,243,494,18,26,44,622,638,1259,40,38,78,682,706,1383,275,290,569,2419,2605,5021,197,184,387,2883,3086,5971
LGA17750,1746,3412,106,79,186,1866,1918,3780,87,122,211,1647,1703,3352,104,96,198,1842,1924,3766,81,95,170,1645,1790,3436,101,86,183,1824,1965,3789,69,91,159,1615,1726,3345,86,74,164,1776,1891,3665,57,65,123,1594,1827,3423,80,104,186,1736,1993,3729,96,113,213,4711,5620,10331,291,357,648,5096,6094,11196,2179,2287,4471,28930,30756,59678,1780,1683,3462,32883,34728,67609
LGA17850,61,122,7,3,11,68,69,134,4,11,14,77,80,152,8,13,13,85,97,184,9,6,17,80,77,150,11,6,10,91,86,178,0,0,7,97,93,192,13,8,26,111,104,220,9,0,10,107,102,212,11,15,25,125,116,240,10,13,20,392,399,791,39,38,71,441,445,888,99,99,201,1274,1261,2538,141,141,282,1516,1502,3016
LGA17900,73,143,45,36,80,137,132,262,31,35,65,77,72,147,25,40,69,129,149,282,26,42,68,94,107,203,43,56,101,164,203,373,31,43,68,108,101,210,44,47,92,183,192,370,34,39,71,169,119,281,54,53,102,253,210,465,53,52,105,457,322,781,128,128,254,646,500,1143,517,596,1113,1489,1299,2790,654,690,1346,2663,2592,5253
LGA17950,52,96,7,8,13,62,74,128,14,7,23,40,49,89,9,10,21,61,68,131,12,14,26,69,64,136,3,10,14,83,92,171,5,16,23,73,68,144,8,7,15,89,92,182,8,6,19,97,75,177,13,9,15,116,87,201,26,22,44,229,224,454,40,64,104,292,307,596,188,198,392,953,938,1891,125,140,269,1266,1279,2550
LGA18020,160,331,19,28,48,199,207,404,20,29,54,176,204,382,32,34,63,227,269,498,25,22,47,232,232,463,46,42,89,305,299,603,23,31,52,273,279,550,45,53,102,346,364,714,17,20,39,297,280,577,41,39,76,356,339,694,34,57,88,1117,1055,2170,181,205,383,1324,1312,2639,475,511,985,3527,3465,6990,610,633,1248,4616,4612,9225
LGA18050,2441,4854,146,123,272,2571,2573,5143,13,5,17,2248,2305,4552,96,90,185,2354,2398,4755,9,7,7,1983,1927,3910,94,86,185,2084,2021,4106,3,5,14,1593,1540,3127,80,60,143,1679,1602,3282,8,3,11,1324,1382,2702,59,73,133,1385,1460,2845,10,13,18,3769,4569,8337,205,295,496,3978,4878,8856,150,125,279,31412,33403,64814,1706,1803,3513,33273,35334,68605
LGA18100,74,169,7,5,18,109,84,190,5,0,9,83,101,185,4,4,12,94,113,210,5,4,7,103,108,203,9,8,16,115,117,234,10,9,15,123,123,248,18,10,28,154,145,291,0,0,9,149,121,270,5,14,14,154,141,288,10,15,19,502,491,991,34,33,65,543,531,1076,86,80,169,1634,1570,3209,120,112,229,1847,1762,3608
LGA18200,146,308,34,21,47,208,170,377,19,14,36,186,202,386,32,30,64,243,243,488,15,22,41,192,191,382,33,17,50,246,233,477,18,26,51,251,203,452,34,27,63,302,259,561,16,16,28,225,237,463,27,16,46,274,264,539,27,19,53,719,632,1358,71,67,145,825,728,1548,319,301,622,3082,2879,5961,466,404,872,3869,3584,7453
LGA18250,3236,6187,75,80,158,3039,3329,6365,8,3,10,2666,2992,5663,86,82,164,2757,3081,5837,5,4,10,2342,2549,4883,45,56,103,2390,2600,4993,5,6,8,2088,2215,4300,39,59,98,2133,2278,4411,13,0,12,1748,1917,3661,35,39,81,1789,1964,3753,5,15,17,5167,6461,11632,170,276,447,5340,6745,12096,106,102,207,35282,37997,73277,1014,1121,2131,36400,39215,75613
LGA18350,1307,2496,59,66,127,1280,1409,2688,27,31,57,1461,1596,3054,75,61,139,1560,1694,3253,33,32,65,1542,1740,3275,80,75,156,1655,1840,3499,28,24,48,1566,1785,3353,72,94,167,1665,1904,3572,32,23,52,1631,1836,3471,75,63,137,1740,1927,3664,42,43,88,6285,7480,13767,391,462,856,6718,7986,14702,591,611,1205,23499,25508,49003,1221,1283,2503,25313,27397,52709
LGA18400,1596,3121,69,59,126,1634,1715,3348,62,69,129,1714,1768,3480,79,75,152,1846,1908,3759,58,42,105,1696,1653,3346,75,66,138,1829,1759,3587,39,37,70,1440,1580,3020,62,58,116,1537,1672,3215,38,43,82,1437,1487,2924,52,40,95,1528,1568,3096,62,55,113,3800,4011,7810,162,160,321,4021,4225,8243,1199,1163,2365,24739,24791,49534,1086,977,2061,27032,26931,53961
LGA18450,6297,12365,249,244,493,6461,6719,13176,151,182,331,6365,6574,12937,278,232,508,6795,6980,13780,148,191,339,6001,6302,12298,225,192,416,6369,6690,13057,136,165,301,6209,6379,12592,213,181,395,6564,6725,13285,115,122,246,5903,6266,12166,204,163,364,6224,6555,12785,199,208,407,17389,20662,38049,672,836,1512,18260,21711,39969,3416,3528,6945,98157,101471,199630,4041,3949,7990,105616,108948,214564
LGA18500,1709,3257,67,67,136,1625,1775,3404,3,6,10,1547,1776,3326,55,55,114,1611,1841,3451,0,5,6,1567,1812,3385,67,80,143,1637,1899,3537,0,4,4,1496,1616,3111,55,54,110,1548,1676,3228,0,3,4,1321,1530,2843,54,46,97,1372,1579,2945,6,7,12,4745,5871,10615,217,332,550,4967,6205,11174,93,82,176,23780,27318,51097,1081,1151,2225,24952,28543,53496
LGA18710,564,1044,32,30,61,534,600,1132,21,14,39,606,643,1250,27,21,46,659,676,1334,12,26,33,605,671,1277,33,29,59,652,721,1372,19,9,19,564,534,1100,34,15,52,609,559,1170,9,10,12,542,522,1071,23,24,45,571,556,1132,23,23,45,1406,1528,2931,98,100,194,1521,1652,3169,283,276,552,7800,8141,15941,422,364,787,8500,8781,17281
LGA19399,35,74,0,3,4,40,42,80,0,0,3,29,44,71,0,5,5,26,47,75,0,0,3,33,21,56,0,0,4,39,25,65,0,4,4,43,27,68,4,0,9,47,35,79,0,0,0,30,46,72,0,9,9,35,52,86,0,0,3,105,72,183,17,8,25,125,86,212,17,18,36,473,430,899,41,45,84,530,486,1016
LGA19499,266,689,66,53,111,542,357,902,65,40,99,411,237,648,72,60,125,540,332,877,50,21,66,348,275,627,77,33,107,473,333,801,37,14,46,378,289,662,74,61,129,480,359,844,25,10,32,369,295,664,73,37,114,470,339,808,28,23,49,704,449,1153,106,66,176,842,535,1373,712,527,1236,4689,3676,8364,980,800,1771,6375,4997,11371
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
